N_sim,segsID,transition,trans_no,avg_time,SE_time,avg_edge.length,avg_Nchanges
31,19,armature->no_armature,56,38.4253462971245,0.09474454824171201,1764.4902762183533,14
31,20,armature->no_armature,57,38.54379626935546,0.09195978664962452,1783.7998774157838,37
31,20,armature->no_armature,58,38.65558141408843,0.08954628683707139,1823.1947968861948,37
31,20,armature->no_armature,59,38.76803100717917,0.09014211691540568,1873.86162509162,37
31,20,armature->no_armature,60,38.90563185045362,0.0843750580787213,1914.8855812342329,37
31,20,armature->no_armature,61,39.02983494521796,0.0826998286149004,1972.790527754719,37
31,20,armature->no_armature,62,39.13762530788921,0.08016080504151342,2021.0526022123927,37
31,20,armature->no_armature,63,39.25292862588982,0.07875652668974205,2083.7909133001876,37
31,20,armature->no_armature,64,39.35333319774356,0.077123363256723,2098.267149930309,37
31,20,armature->no_armature,65,39.4619087446746,0.07494931386863618,2127.2196231905523,37
31,20,armature->no_armature,66,39.56437685984137,0.07117022695175584,2177.8864513959775,37
31,20,armature->no_armature,67,39.653626123950495,0.07003969558777734,2199.60080634116,37
31,20,armature->no_armature,68,39.74278374765218,0.06710181516507886,2214.077042971281,37
31,20,armature->no_armature,69,39.82064622800632,0.0648587172611896,2233.386644168712,37
31,20,armature->no_armature,70,39.91174088776741,0.06255555185222152,2262.339117428955,37
31,20,armature->no_armature,71,39.99417158974281,0.06059588882780959,2284.053472374137,37
31,20,armature->no_armature,72,40.07576426408481,0.05984731551266461,2291.291590689198,37
31,20,armature->no_armature,73,40.14954775783491,0.05618486211537556,2298.5297090042586,37
31,20,armature->no_armature,74,40.20403521748667,0.05461082486709929,2298.5297090042586,37
31,20,armature->no_armature,75,40.26206571009625,0.05282383480600274,2305.548490400681,37
31,20,armature->no_armature,76,40.320485605927686,0.05006562976174679,2305.3246772183975,37
31,20,armature->no_armature,77,40.38671303429788,0.04881136710495483,2312.7105122337657,37
31,20,armature->no_armature,78,40.42509496229394,0.047704553414480086,2312.402769108125,37
31,20,armature->no_armature,79,40.48005141312166,0.044962882130354785,2312.402769108125,37
31,20,armature->no_armature,80,40.52246928123782,0.044713411096702106,2312.244038443321,37
31,20,armature->no_armature,81,40.5523775193432,0.04380597201174021,2311.7471424491523,37
31,20,armature->no_armature,82,40.590910625524394,0.043101335291225513,2311.3974748977002,37
31,20,armature->no_armature,83,40.61682836278938,0.042908555985879934,2319.162506040294,37
31,20,armature->no_armature,84,40.65803063931258,0.040914630731925854,2318.9667489526655,37
31,20,armature->no_armature,85,40.69378341181116,0.03867548963085237,2318.6552087095497,37
31,20,armature->no_armature,86,40.73161989748874,0.0391458454951907,2318.2025433990393,37
31,20,armature->no_armature,87,40.75873001848145,0.037942111421866875,2327.4821822645017,37
31,20,armature->no_armature,88,40.7844921682663,0.03708455319115753,2327.4821822645017,37
31,20,armature->no_armature,89,40.80838809030982,0.03745540813341334,2327.4821822645017,37
31,20,armature->no_armature,90,40.84116866328051,0.03762456405815261,2327.4821822645017,37
31,20,armature->no_armature,91,40.859414721874565,0.04003198533232737,2327.4821822645017,37
31,20,armature->no_armature,92,40.84933143620548,0.043926668564095446,2327.4821822645017,37
31,20,armature->no_armature,93,40.86655365185172,0.04656524803233506,2327.4821822645017,37
32,2,armature->no_armature,1,8.07056985805883,0.4009302391022568,26.528565326656153,1
32,3,armature->no_armature,2,10.622053492049698,0.3496255879963768,38.641037702946605,1
32,5,armature->no_armature,3,12.346841082643255,0.3037829094654798,47.77560402171948,1
32,6,armature->no_armature,4,13.792196105659077,0.2975860842088164,56.59986703863025,3
32,6,armature->no_armature,5,15.267034650540051,0.29723145857497113,68.57057635629685,3
32,6,armature->no_armature,6,16.493940461476992,0.2998583297507187,79.21311237347983,3
32,7,armature->no_armature,7,17.548373404252793,0.33027641543290653,91.76281689237648,1
32,8,armature->no_armature,8,18.881609867888525,0.35285396570106636,112.23247106760293,2
32,8,armature->no_armature,9,20.048152556548192,0.3599947837221793,127.83016103770771,2
32,9,armature->no_armature,10,21.044190735609245,0.36914584734824085,146.13458185441874,1
32,10,armature->no_armature,11,22.273011465436937,0.39037848994362123,174.58329708968802,4
32,10,armature->no_armature,12,23.619197165229597,0.3830555290437918,207.8461657960721,4
32,10,armature->no_armature,13,24.666583277734038,0.3694808123085291,239.03590770979014,4
32,10,armature->no_armature,14,25.632569694903566,0.35253337433774096,266.7722642704031,4
32,11,armature->no_armature,15,26.460690812202486,0.3410394235480114,292.0677631566076,1
32,12,armature->no_armature,16,27.335514378154464,0.3262725705631819,333.2420252793996,3
32,12,armature->no_armature,17,28.115420966614884,0.31594264639949193,365.63063224130394,3
32,12,armature->no_armature,18,28.704390026165992,0.31318304382698486,400.41668933242806,3
32,13,armature->no_armature,19,29.321024440709934,0.29130304369916793,435.0188146853503,2
32,13,armature->no_armature,20,29.844222219575656,0.26424713193426796,463.5885634956688,2
32,14,armature->no_armature,21,30.426799967446517,0.2531350560678123,492.6198933442136,2
32,14,armature->no_armature,22,30.831605904368846,0.240640090531784,526.0601476562624,2
32,15,armature->no_armature,23,31.341467602837664,0.22434810518004536,573.2918930370236,4
32,15,armature->no_armature,24,31.820123454064245,0.21691597364343404,609.1572918458933,4
32,15,armature->no_armature,25,32.21649606590367,0.2062596415353746,643.7567559495395,4
32,15,armature->no_armature,26,32.535510137772064,0.1877780127554646,665.5236389413234,4
32,16,armature->no_armature,27,32.83422890681619,0.18191984778929768,698.217584864341,5
32,16,armature->no_armature,28,33.147720152004524,0.183182506018223,742.8727597309705,5
32,16,armature->no_armature,29,33.41679891321554,0.18207551676984657,782.6418283844766,5
32,16,armature->no_armature,30,33.73765711238997,0.17615058530585076,816.1327088746542,5
32,16,armature->no_armature,31,34.02308399848568,0.16856652842508288,849.0986091015311,5
32,17,armature->no_armature,32,34.26286142993549,0.1630684729432976,879.7132392035938,9
32,17,armature->no_armature,33,34.51795082453389,0.16008046156743252,926.3742213148886,9
32,17,armature->no_armature,34,34.73021131097171,0.15333590752285575,956.3589513754804,9
32,17,armature->no_armature,35,34.92085232266594,0.15103872652910508,996.2183323770869,9
32,17,armature->no_armature,36,35.16597767986742,0.1454675506367105,1012.2399718526226,9
32,17,armature->no_armature,37,35.37598599703989,0.14178665609629482,1032.0721305345226,9
32,17,armature->no_armature,38,35.5952158616547,0.13547150483572776,1077.6464032758734,9
32,17,armature->no_armature,39,35.77828170723448,0.13168921284865887,1119.41015681086,9
32,17,armature->no_armature,40,35.99585507190347,0.12929784100569125,1147.34560776958,9
32,18,armature->no_armature,41,36.18802492626586,0.12244339826045826,1194.56077154824,9
32,18,armature->no_armature,42,36.36639241770025,0.11764680399131856,1249.8136277893161,9
32,18,armature->no_armature,43,36.54075187427401,0.11164703492278837,1277.184778520969,9
32,18,armature->no_armature,44,36.7111295763002,0.10852086694433767,1301.297855908218,9
32,18,armature->no_armature,45,36.88819314155288,0.10376876693943624,1342.1581093459606,9
32,18,armature->no_armature,46,37.029727539710436,0.1006645927034094,1378.184998216394,9
32,18,armature->no_armature,47,37.186645561250565,0.1016485198301407,1405.5561489480472,9
32,18,armature->no_armature,48,37.36087910998071,0.10308472596626354,1441.794454666963,9
32,18,armature->no_armature,49,37.51491680540574,0.10060651156735942,1497.3662186551155,9
32,19,armature->no_armature,50,37.64888842811812,0.10279801453162805,1548.0569039323468,16
32,19,armature->no_armature,51,37.77242667401362,0.10146920518803892,1576.1799146677433,16
32,19,armature->no_armature,52,37.916339309147865,0.09845312322100622,1617.2277278821625,16
32,19,armature->no_armature,53,38.058483168873785,0.09900236267861538,1675.1803885462605,16
32,19,armature->no_armature,54,38.18223851715481,0.0994603024226831,1684.847117680879,16
32,19,armature->no_armature,55,38.28938716651632,0.09883413482143537,1708.990083445619,16
32,19,armature->no_armature,56,38.4253462971245,0.09474454824171201,1764.4902762183533,16
32,19,armature->no_armature,57,38.54379626935546,0.09195978664962452,1783.7998774157838,16
32,19,armature->no_armature,58,38.65558141408843,0.08954628683707139,1823.1947968861948,16
32,19,armature->no_armature,59,38.76803100717917,0.09014211691540568,1873.86162509162,16
32,19,armature->no_armature,60,38.90563185045362,0.0843750580787213,1914.8855812342329,16
32,19,armature->no_armature,61,39.02983494521796,0.0826998286149004,1972.790527754719,16
32,19,armature->no_armature,62,39.13762530788921,0.08016080504151342,2021.0526022123927,16
32,19,armature->no_armature,63,39.25292862588982,0.07875652668974205,2083.7909133001876,16
32,19,armature->no_armature,64,39.35333319774356,0.077123363256723,2098.267149930309,16
32,19,armature->no_armature,65,39.4619087446746,0.07494931386863618,2127.2196231905523,16
32,20,armature->no_armature,66,39.56437685984137,0.07117022695175584,2177.8864513959775,31
32,20,armature->no_armature,67,39.653626123950495,0.07003969558777734,2199.60080634116,31
32,20,armature->no_armature,68,39.74278374765218,0.06710181516507886,2214.077042971281,31
32,20,armature->no_armature,69,39.82064622800632,0.0648587172611896,2233.386644168712,31
32,20,armature->no_armature,70,39.91174088776741,0.06255555185222152,2262.339117428955,31
32,20,armature->no_armature,71,39.99417158974281,0.06059588882780959,2284.053472374137,31
32,20,armature->no_armature,72,40.07576426408481,0.05984731551266461,2291.291590689198,31
32,20,armature->no_armature,73,40.14954775783491,0.05618486211537556,2298.5297090042586,31
32,20,armature->no_armature,74,40.20403521748667,0.05461082486709929,2298.5297090042586,31
32,20,armature->no_armature,75,40.26206571009625,0.05282383480600274,2305.548490400681,31
32,20,armature->no_armature,76,40.320485605927686,0.05006562976174679,2305.3246772183975,31
32,20,armature->no_armature,77,40.38671303429788,0.04881136710495483,2312.7105122337657,31
32,20,armature->no_armature,78,40.42509496229394,0.047704553414480086,2312.402769108125,31
32,20,armature->no_armature,79,40.48005141312166,0.044962882130354785,2312.402769108125,31
32,20,armature->no_armature,80,40.52246928123782,0.044713411096702106,2312.244038443321,31
32,20,armature->no_armature,81,40.5523775193432,0.04380597201174021,2311.7471424491523,31
32,20,armature->no_armature,82,40.590910625524394,0.043101335291225513,2311.3974748977002,31
32,20,armature->no_armature,83,40.61682836278938,0.042908555985879934,2319.162506040294,31
32,20,armature->no_armature,84,40.65803063931258,0.040914630731925854,2318.9667489526655,31
32,20,armature->no_armature,85,40.69378341181116,0.03867548963085237,2318.6552087095497,31
32,20,armature->no_armature,86,40.73161989748874,0.0391458454951907,2318.2025433990393,31
32,20,armature->no_armature,87,40.75873001848145,0.037942111421866875,2327.4821822645017,31
32,20,armature->no_armature,88,40.7844921682663,0.03708455319115753,2327.4821822645017,31
32,20,armature->no_armature,89,40.80838809030982,0.03745540813341334,2327.4821822645017,31
32,20,armature->no_armature,90,40.84116866328051,0.03762456405815261,2327.4821822645017,31
32,20,armature->no_armature,91,40.859414721874565,0.04003198533232737,2327.4821822645017,31
32,20,armature->no_armature,92,40.84933143620548,0.043926668564095446,2327.4821822645017,31
32,20,armature->no_armature,93,40.86655365185172,0.04656524803233506,2327.4821822645017,31
32,20,armature->no_armature,94,40.8517746659655,0.051806572787255915,2327.4821822645017,31
32,20,armature->no_armature,95,40.856816180722426,0.04836452249533431,2327.4821822645017,31
32,20,armature->no_armature,96,40.87908057447461,0.05113979223872076,2327.4821822645017,31
33,4,armature->no_armature,1,8.07056985805883,0.4009302391022568,26.528565326656153,1
33,6,armature->no_armature,2,10.622053492049698,0.3496255879963768,38.641037702946605,1
33,7,armature->no_armature,3,12.346841082643255,0.3037829094654798,47.77560402171948,2
33,7,armature->no_armature,4,13.792196105659077,0.2975860842088164,56.59986703863025,2
33,8,armature->no_armature,5,15.267034650540051,0.29723145857497113,68.57057635629685,1
33,10,armature->no_armature,6,16.493940461476992,0.2998583297507187,79.21311237347983,1
33,11,armature->no_armature,7,17.548373404252793,0.33027641543290653,91.76281689237648,1
33,12,armature->no_armature,8,18.881609867888525,0.35285396570106636,112.23247106760293,1
33,13,armature->no_armature,9,20.048152556548192,0.3599947837221793,127.83016103770771,3
33,13,armature->no_armature,10,21.044190735609245,0.36914584734824085,146.13458185441874,3
33,13,armature->no_armature,11,22.273011465436937,0.39037848994362123,174.58329708968802,3
33,14,armature->no_armature,12,23.619197165229597,0.3830555290437918,207.8461657960721,1
33,15,armature->no_armature,13,24.666583277734038,0.3694808123085291,239.03590770979014,8
33,15,armature->no_armature,14,25.632569694903566,0.35253337433774096,266.7722642704031,8
33,15,armature->no_armature,15,26.460690812202486,0.3410394235480114,292.0677631566076,8
33,15,armature->no_armature,16,27.335514378154464,0.3262725705631819,333.2420252793996,8
33,15,armature->no_armature,17,28.115420966614884,0.31594264639949193,365.63063224130394,8
33,15,armature->no_armature,18,28.704390026165992,0.31318304382698486,400.41668933242806,8
33,15,armature->no_armature,19,29.321024440709934,0.29130304369916793,435.0188146853503,8
33,15,armature->no_armature,20,29.844222219575656,0.26424713193426796,463.5885634956688,8
33,16,armature->no_armature,21,30.426799967446517,0.2531350560678123,492.6198933442136,9
33,16,armature->no_armature,22,30.831605904368846,0.240640090531784,526.0601476562624,9
33,16,armature->no_armature,23,31.341467602837664,0.22434810518004536,573.2918930370236,9
33,16,armature->no_armature,24,31.820123454064245,0.21691597364343404,609.1572918458933,9
33,16,armature->no_armature,25,32.21649606590367,0.2062596415353746,643.7567559495395,9
33,16,armature->no_armature,26,32.535510137772064,0.1877780127554646,665.5236389413234,9
33,16,armature->no_armature,27,32.83422890681619,0.18191984778929768,698.217584864341,9
33,16,armature->no_armature,28,33.147720152004524,0.183182506018223,742.8727597309705,9
33,16,armature->no_armature,29,33.41679891321554,0.18207551676984657,782.6418283844766,9
33,17,armature->no_armature,30,33.73765711238997,0.17615058530585076,816.1327088746542,6
